StationName,City,State,PM2.5,PM10,SO2,NO2,O3,CO,AQI
"Adarsh Nagar, Jaipur - RSPCB",Jaipur,Rajasthan,43.25033434650445,120.26111448834837,10.063454913880454,31.214741641337433,51.49123606889574,0.8627963525835876,121.11651469098278
"Alipur, Delhi - DPCC",Delhi,Delhi,107.02160211267604,197.58082746478874,19.881373239436645,49.72139084507038,33.666531690140886,0.9476584507042249,217.32394366197184
"Anand Vihar, Delhi - DPCC",Delhi,Delhi,154.36590508474563,362.62964745762685,18.225125423728823,88.28077288135606,32.14344406779659,2.2030372881355946,356.55186440677966
"Ashok Vihar, Delhi - DPCC",Delhi,Delhi,113.44851039260973,225.78922632794465,16.577240184757525,41.57411085450343,38.581085450346386,1.1496535796766731,238.74480369515013
"Ballygunge, Kolkata - WBPCB",Kolkata,West Bengal,59.9627333333333,108.28673333333334,7.255066666666671,26.138766666666655,38.163633333333294,0.6690999999999999,143.22333333333333
"Bandra, Mumbai - MPCB",Mumbai,Maharashtra,31.97122349102775,92.72872756933123,16.18176182707993,28.64071778140295,31.86941272430666,1.9193964110929893,107.44861337683524
"Bapuji Nagar, Bengaluru - KSPCB",Bengaluru,Karnataka,36.094276527331175,76.3770900321543,7.000594855305468,37.952090032154345,38.10172025723475,0.7297749196141468,95.42282958199357
"Bawana, Delhi - DPCC",Delhi,Delhi,120.2283915022762,241.14412746585734,14.889089529590285,37.50320182094081,45.534294385432474,1.2517147192716236,254.1669195751138
"Bidhannagar, Kolkata - WBPCB",Kolkata,West Bengal,41.3922372881356,85.20430508474571,13.787694915254239,18.20396610169491,42.73681355932201,0.5518644067796615,108.12881355932204
"Bollaram Industrial Area, Hyderabad - TSPCB",Hyderabad,Telangana,43.59861956521741,97.50258695652184,10.891141304347812,24.520271739130447,28.932500000000015,0.5019021739130434,97.14021739130435
"Borivali East, Mumbai - MPCB",Mumbai,Maharashtra,29.56808080808081,61.92441077441078,9.94734006734008,4.62835016835017,19.13835016835016,0.3738383838383838,68.70370370370371
"Central University, Hyderabad - TSPCB",Hyderabad,Telangana,34.483009615384624,82.16303846153856,5.140653846153844,32.86004807692302,42.70100961538456,0.5582884615384616,91.7451923076923
"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",Mumbai,Maharashtra,43.27419161676648,111.80404191616772,7.740808383233538,35.520568862275425,13.858353293413172,0.7764970059880233,127.93413173652695
"Colaba, Mumbai - MPCB",Mumbai,Maharashtra,39.06319526627219,79.18269230769235,15.832248520710051,19.13497041420119,35.0912426035503,0.45384615384615346,96.98520710059172
"DRM Office Danapur, Patna - BSPCB",Patna,Bihar,61.75444444444445,135.44666666666666,6.477037037037037,36.24629629629629,39.48592592592593,0.754074074074074,155.37037037037038
"DTU, Delhi - CPCB",Delhi,Delhi,111.25080769230784,234.51169230769227,10.944487179487183,38.35655128205135,43.83189743589748,1.3850128205128225,243.24358974358975
"Dr. Karni Singh Shooting Range, Delhi - DPCC",Delhi,Delhi,83.21185935637656,180.69808104886752,18.709117997616225,42.952836710369525,42.028045292014355,1.1465673420738973,202.34684147794994
"Dwarka-Sector 8, Delhi - DPCC",Delhi,Delhi,103.53208092485542,276.9511791907519,15.96547976878611,39.58253179190752,41.124277456647434,1.4744277456647388,260.9965317919075
"Fort William, Kolkata - WBPCB",Kolkata,West Bengal,53.869465648855,99.44063613231559,6.416386768447837,33.76091603053435,30.13969465648854,0.6205852417302802,121.6412213740458
"GM Office, Brajrajnagar - OSPCB",Brajrajnagar,Odisha,64.83078303425778,123.70293637846662,10.452610114192499,17.112512234910284,13.842055464926592,2.063752039151712,153.91190864600327
"GVM Corporation, Visakhapatnam - APPCB",Visakhapatnam,Andhra Pradesh,47.292115891132596,106.87504828797181,12.809604916593507,37.20767339771719,37.0202721685689,0.8536786654960496,116.80772607550483
"Golden Temple, Amritsar - PPCB",Amritsar,Punjab,56.314534313725495,117.60178921568655,8.731801470588238,18.692377450980388,22.388725490196087,0.6321936274509797,125.04289215686275
"Govt. High School Shikarpur, Patna - BSPCB",Patna,Bihar,51.73386666666667,181.18666666666675,8.469600000000003,9.386933333333333,5.550933333333335,0.6499999999999998,164.48
"Hebbal, Bengaluru - KSPCB",Bengaluru,Karnataka,29.301050955414038,64.02587579617835,6.560143312101909,22.00576433121018,32.40246815286625,0.7565923566878979,78.71019108280255
"Hombegowda Nagar, Bengaluru - KSPCB",Bengaluru,Karnataka,27.544717557251914,63.66073282442743,7.197511450381678,21.416320610687045,47.62541984732824,0.8061221374045798,83.59389312977099
"ICRISAT Patancheru, Hyderabad - TSPCB",Hyderabad,Telangana,37.023217905405325,88.16339527027017,11.087592905405405,16.27576013513516,33.806097972972985,0.495337837837838,91.07432432432432
"IDA Pashamylaram, Hyderabad - TSPCB",Hyderabad,Telangana,42.07730031948887,94.16006389776345,10.290199680511183,46.32702076677319,28.586892971245966,0.5538738019169335,98.78434504792332
"ITO, Delhi - CPCB",Delhi,Delhi,109.2630381679389,170.70372519083958,8.768748091603046,43.834992366412216,24.18416793893131,1.5616793893129772,215.4
"Jadavpur, Kolkata - WBPCB",Kolkata,West Bengal,40.72439276485789,80.888165374677,5.913436692506464,23.805710594315254,20.32658914728681,0.7345219638242896,97.3359173126615
"Jahangirpuri, Delhi - DPCC",Delhi,Delhi,128.59032520325215,259.77263646922154,15.23249709639955,65.89146341463415,27.469012775842053,1.6594773519163772,261.2392566782811
